#separator:tab
#html:true
#tags column:9
ところだ	Sắp sửa	時刻は間もなく３じになるところだ。	Sắp sửa đến 3h rồi.			Diễn tả một hành động hay một sự thay đổi ở vào giai đoạn “ngay trước khi xảy ra”.	<div>V-る + ところだ</div><div>Lưu ý: ところだった Suýt nữa</div>	thoigian.diadiem
AうちにB	trong khi	今は上手に話せなくても練習を重ねるうちに上手になります。	Cho dù bây giờ chưa thể nói được tốt nhưng trong lúc luyện tập thì đã trở nên giỏi.	独身のうちにいろいろなことをやってみたいです。	Trong lúc độc thân thì tôi muốn thử trải nghiệm nhiều điều.	1.Trong khi làm A thì phát sinh trạng thái B<br>2.Tranh thủ làm B khi A đang tiếp diễn/ A chưa xảy ra		thoigian.diadiem
さい（に）	Khi mà, vào lúc	お食事の際は、こちらのテーブルをお使いいただけます。	Khi dùng bữa, có thể sử dụng cái bàn này.	受験の際に、写真が必要です。	Khi dự thi, cần có ảnh.	<div>〜祭（に）có nghĩa giống với とき nhưng mang sắc thái cứng hơn, được sử dụng trong những trường hợp trang trọng hơn. Thường được sử dụng nhiều trong những thông báo, không sử dụng nhiều trong đời sống thường ngày.<br></div>	<div>Nの + 祭（に）<br>V + 祭（に）<br></div><div><br></div>	thoigian.diadiem
さいちゅう（に）	Đúng lúc đang, trong lúc	新入社員の山田さんは、会議の最中に居眠りを始めてしまった。	Anh Yamada – nhân viên mới thì trong lúc đang họp đã bắt đầu buồn ngủ mất rồi.					thoigian.diadiem
において	Ở đâu, khi nào	入学式はA会館において行われる予定です。	Lễ khai giảng dự định tổ chức ở hội trường A.			<div>Đi sau một danh từ chỉ nơi chốn, thời gian hoặc tình huống, để diễn tả bối cảnh lúc một sự kiện nào đó xảy ra hoặc một trạng thái nào đó tồn tại.</div>	N + において/ においては/ においても/ における (Cách nói trang trọng của thời điểm + に và địa điểm + で・に)	thoigian.diadiem
AたとたんB	<div><div>Ngay sau khi, đúng lúc</div></div>	ドアを開けたとたん、猫が飛び込んでいた。	Đúng lúc tôi mở cửa thì con mèo nhảy vào.	窓を開けたとたん、強い風が入ってきた。	Tôi vừa mở cửa sổ ra thì có một luồng gió lạnh tràn vào.	<div><div>Ngay sau khi làm A thì B xảy ra một cách đột ngột<br></div></div>	<div><div><strong>V</strong>た + とたん(に)</div></div>	trattuthoigian
AてからでないとB		野菜を生で食べるなら、よく洗ってからでないと、農薬が心配だ。	Nếu ăn rau sống mà không rửa sạch thì rất lo lắng về vấn đề thuốc trừ sâu.			Phải sau khi làm A thì mới có thể làm B		trattuthoigian
てからは	Kể từ khi	先に風呂に入ってから食事にしよう。	Tắm gội trước rồi hãy ăn.	遊びに行くのは仕事が終わってからだ。	Chuyện đi chơi thì để sau khi công việc kết thúc đã.	<div><div>V-てから</div></div>		trattuthoigian
AてはじめてB	Mãi cho đến khi làm A mới nhận ra B	病気になって初めて健康のありがたさがわかる。	Có bệnh mới hiểu sự quý giá của sức khỏe.	言われてみて初めて、自分がいかに狭量であったかに気がついた。	Được người khác nói cho nghe, mới thấy rằng mình thật hẹp hòi biết bao.	<div>Cấu trúc mang ý nghĩa “sau khi xảy ra một việc gì rồi thì mới nhận thấy, phát hiện được ra…”, dùng để nói rằng sau khi trải qua một kinh nghiệm nào đó thì mới nhận ra rằng từ trước tới nay mình đã không để ý đến việc đó, hay đã không suy nghĩ sâu sắc đến nó.<br></div>	Vて(みて)+ はじめて	trattuthoigian
とともに	Cùng với	年をとるとともに記憶力が驚えてきた。	<div><div><div>Càng già trí nhớ càng suy yếu.</div></div></div>	手紙とともに当日の写真も送りました。	Tôi đã gửi thư cùng với bức ảnh hôm đó.	Đi với danh từ hoặc động từ chỉ hành động hoặc thay đổi, để diễn tả ý nghĩa hành động hoặc thay đổi này diễn ra ứng với một hành động hoặc thay đổi khác, hoặc diễn tả hai sự việc xảy ra đồng thời.&nbsp;	N + とともに<br>V-る + とともに<br>Từ dùng trong văn viết. Giống với「...につれて」,「...とどうじに」.	chuoihanhdong
くらい～はない	Không còn ai/điều gì/cái gì bằng	彼ぐらいわがままなやつはいない。	Chẳng có gã nào ích kỉ như thế cả.	タバコぐらい体に悪い物はない。	Không có gì có hại cho sức khỏe bằng thuốc lá.	"<br>Chỉ mức độ của sự vật được biểu thị kèm theo […くらい] là cao nhất. Có nghĩa là ""cái đó là ... nhất""."	... + くらい + … + N + はない	mucdo.sosanh
